Azone,Bzone,Czone,Marea
Baker,NA,NA,None
Benton,NA,NA,Corvallis
Clackamas,NA,NA,Metro
Clatsop,NA,NA,Metro
Columbia,NA,NA,Metro
Coos,NA,NA,None
Crook,NA,NA,Bend
Curry,NA,NA,None
Deschutes,NA,NA,Bend
Douglas,NA,NA,EugeneSpringfield
Gilliam,NA,NA,Metro
Grant,NA,NA,None
Harney,NA,NA,None
Hood River,NA,NA,None
Jackson,NA,NA,RogueValley
Jefferson,NA,NA,Bend
Josephine,NA,NA,GrantsPass
Klamath,NA,NA,None
Lake,NA,NA,None
Lane,NA,NA,EugeneSpringfield
Lincoln,NA,NA,SalemKeizer
Linn,NA,NA,Albany
Malheur,NA,NA,None
Marion,NA,NA,SalemKeizer
Morrow,NA,NA,None
Multnomah,NA,NA,Metro
Polk,NA,NA,SalemKeizer
Sherman,NA,NA,Metro
Tillamook,NA,NA,Metro
Umatilla,NA,NA,None
Union,NA,NA,None
Wallowa,NA,NA,None
Wasco,NA,NA,None
Washington,NA,NA,Metro
Wheeler,NA,NA,Bend
Yamhill,NA,NA,Metro
